,Name,Full_Name,Alter_Egos,Birthplace,Occupation,Image_url
0,A-Bomb,Richard Milhouse Jones,No alter egos found.,"Scarsdale, Arizona","Musician, adventurer, author; formerly talk show host",https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
1,Abe Sapien,Abraham Sapien,No alter egos found.,unknown,Paranormal Investigator,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
2,Abin Sur,,No alter egos found.,Ungara,"Green Lantern, former history professor",https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg
3,Abomination,Emil Blonsky,No alter egos found.,"Zagreb, Yugoslavia",Ex-Spy,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
4,Abraxas,Abraxas,No alter egos found.,Within Eternity,Dimensional destroyer,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
5,Absorbing Man,Carl Creel,No alter egos found.,"New York City, New York",Professional criminal; former professional boxer,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
6,Adam Monroe,,No alter egos found.,unknown,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army",https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg
7,Adam Strange,Adam Strange,No alter egos found.,"Chicago, Illinois","Adventurer, archaelogist, ambassador",https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
8,Agent 13,Sharon Carter,Sharon Carter,unknown,Agent of SHIELD,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg
9,Agent Bob,Bob,No alter egos found.,unknown,"Mercenary, janitor; former pirate, terrorist",https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
10,Agent Zero,Christoph Nord,No alter egos found.,Unrevealed location in former East Germany,"Mercenary, former government operative, freedom fighter",https://www.superherodb.com/pictures2/portraits/10/100/396.jpg
11,Air-Walker,Gabriel Lan,No alter egos found.,"Xandar, a planet in the Tranta system, Andromeda galaxy","Former starship captain, Herald of Galactus",https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg
12,Ajax,Francis,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg
13,Alan Scott,Alan Ladd Wellington Scott,No alter egos found.,Gotham City,unknown,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg
14,Alex Mercer,Alexander J. Mercer,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg
15,Alex Woolsly,Alex Woolsly,No alter egos found.,unknown,Employee at Sam's Comics,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg
16,Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,No alter egos found.,unknown,"Butler; Caretaker, former Actor; Field Medic; Government Agent",https://www.superherodb.com/pictures2/portraits/10/100/628.jpg
17,Alien,Xenomorph,No alter egos found.,Your chest :),unknown,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg
18,Allan Quatermain,,No alter egos found.,unknown,(former) hunter; (current) agent of the British government,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg
19,Amazo,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg
20,Ammo,,No alter egos found.,unknown,"Gang leader , criminal , former soldier",https://www.superherodb.com/pictures2/portraits/10/100/184.jpg
21,Ando Masahashi,Ando Masahashi,No alter egos found.,unknown,Yamagato Industries computer programmer,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg
22,Angel,Liam,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg
23,Angel,Warren Kenneth Worthington III,Archangel,"Centerport, Long Island, New York","Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",https://www.superherodb.com/pictures2/portraits/10/100/829.jpg
24,Angel Dust,Christina,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg
25,Angel Salvadore,Angel Salvadore Bohusk,Tempest,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg
26,Angela,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg
27,Animal Man,Bernhard Baker,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg
28,Annihilus,Annihilus,No alter egos found.,"Planet of Arthros, Sector 17A, Negative Zone","Conqueror, scavenger",https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg
29,Ant-Man,Hank Pym,"Giant-Man, Goliath, Wasp II, Yellowjacket","Elmsford, New York","Adventurer, Biochemist, former manager of Avengers Compound",https://www.superherodb.com/pictures2/portraits/10/100/857.jpg
30,Ant-Man II,Scott Lang,No alter egos found.,"Coral Gables, Florida","Electronics Technician,",https://www.superherodb.com/pictures2/portraits/10/100/166.jpg
31,Anti-Monitor,,No alter egos found.,Moon of Qward,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg
32,Anti-Spawn,Jason Wynn,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg
33,Anti-Venom,Eddie Brock,"Toxin, Venom","San Francisco, California",Vigilante; former journalist for the Daily Globe,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg
34,Apocalypse,En Sabah Nur,No alter egos found.,"Akkaba, Egypt",Student; formerly Conqueror; Scientist,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg
35,Aquababy,"Arthur Curry, Jr.",No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg
36,Aqualad,Garth,No alter egos found.,"Poseidonis, Atlantis","Adventurer; Magician, former Sidekick",https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg
37,Aquaman,Orin,No alter egos found.,Atlantis,"Protector of the Seas and Oceans, King of Poseidonis",https://www.superherodb.com/pictures2/portraits/10/100/634.jpg
38,Arachne,Julia Carpenter,No alter egos found.,"Los Angeles, California","Adventurer, fugitive, former government agent",https://www.superherodb.com/pictures2/portraits/10/100/882.jpg
39,Archangel,Warren Kenneth Worthington III,Angel,"Centerport, Long Island, New York","Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",https://www.superherodb.com/pictures2/portraits/10/100/838.jpg
40,Arclight,Philippa Sontag,No alter egos found.,Vietnam,Terrorist,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg
41,Ardina,Ardina,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg
42,Ares,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg
43,Ariel,Ariel,No alter egos found.,unknown,"Leader, refugee alien; former alien mutant-hunter and hedonist",https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg
44,Armor,Hisako Ichiki,No alter egos found.,unknown,"Adventurer, student",https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg
45,Arsenal,"Roy William Harper, Jr.",Speedy,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg
46,Astro Boy,Atom,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg
47,Atlas,Erik Josten,"Goliath, Power Man, Smuggler","Milwaukee, Wisconsin","Adventurer; former professional criminal, mercenary, dock worker, soldier",https://www.superherodb.com/pictures2/portraits/10/100/878.jpg
48,Atlas,,No alter egos found.,Crystal Mountain,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg
49,Atom,Albert Pratt,No alter egos found.,unknown,"Adventurer, Retired Professor of Nuclear Physics",https://www.superherodb.com/pictures2/portraits/10/100/934.jpg
50,Atom,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg
51,Atom Girl,Salu Digby,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg
52,Atom II,Ray Palmer,No alter egos found.,unknown,Physics Professor,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg
53,Atom III,Adam Cray,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg
54,Atom IV,Ryan Choi,No alter egos found.,unknown,Professor of nuclear physics at Ivy University,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg
55,Aurora,Jeanne-Marie Beaubier,No alter egos found.,"Montreal, Quebec, Canada","Adventurer; former terrorist, nun, history/geography teacher",https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg
56,Azazel,,No alter egos found.,"Isla des Demonas, Caribbean Sea",Leader of the Neyaphem,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg
57,Azrael,Michael Washington Lane,No alter egos found.,Gotham City,"Former Police Officer, vigilante",https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg
58,Aztar,Aztar,Spectre,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg
59,Bane,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg
60,Banshee,Sean Cassidy,No alter egos found.,"Cassidy Keep, Ireland","Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor",https://www.superherodb.com/pictures2/portraits/10/100/26.jpg
61,Bantam,Roberto Velasquez,No alter egos found.,unknown,"Adventurer, boxing trainer, former boxer",https://www.superherodb.com/pictures2/portraits/10/100/229.jpg
62,Batgirl,Barbara Gordon,Oracle,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg
63,Batgirl,Mary Elizabeth Kane,Hawkfire,unknown,Crime-fighter,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg
64,Batgirl III,Helena Rosa Bertinelli,Huntress,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg
