Superhero Power,Real World Issue Resolution
Agility,Large Scale Conflict
Accelerated Healing,Medical (COVID-19)
Lantern Power Ring,Infrastructure Improvements
Dimensional Awareness,Education Improvements
Cold Resistance,Miscellaneous
Durability,Medical (COVID-19)
Stealth,Miscellaneous
Energy Absorption,Climate Change
Flight,Infrastructure Improvements
Danger Sense,Large Scale Conflict
Underwater breathing,Medical (COVID-19)
Marksmanship,Large Scale Conflict
Weapons Master,Large Scale Conflict
Power Augmentation,Medical (COVID-19)
Animal Attributes,Miscellaneous
Longevity,Medical (COVID-19)
Intelligence,Education Improvements
Super Strength,Infrastructure Improvements
Cryokinesis,Climate Change
Telepathy,Education Improvements
Energy Armor,Large Scale Conflict
Energy Blasts,Infrastructure Improvements
Duplication,Medical (COVID-19)
Size Changing,Infrastructure Improvements
Density Control,Climate Change
Stamina,Medical (COVID-19)
Astral Travel,Drug Addiction
Audio Control,Miscellaneous
Dexterity,Drug Addiction
Omnitrix,Miscellaneous
Super Speed,Medical (COVID-19)
Possession,Miscellaneous
Animal Oriented Powers,Miscellaneous
Weapon-based Powers,Large Scale Conflict
Electrokinesis,Infrastructure Improvements
Darkforce Manipulation,Miscellaneous
Death Touch,Miscellaneous
Teleportation,Medical (COVID-19)
Enhanced Senses,Medical (COVID-19)
Telekinesis,Infrastructure Improvements
Energy Beams,Large Scale Conflict
Magic,Miscellaneous
Hyperkinesis,Drug Addiction
Jump,Miscellaneous
Clairvoyance,Drug Addiction
Dimensional Travel,Miscellaneous
Power Sense,Infrastructure Improvements
Shapeshifting,Miscellaneous
Peak Human Condition,Medical (COVID-19)
Immortality,Medical (COVID-19)
Camouflage,Large Scale Conflict
Element Control,Climate Change
Phasing,Infrastructure Improvements
Astral Projection,Drug Addiction
Electrical Transport,Infrastructure Improvements
Fire Control,Climate Change
Projection,Drug Addiction
Summoning,Miscellaneous
Enhanced Memory,Education Improvements
Reflexes,Miscellaneous
Invulnerability,Medical (COVID-19)
Energy Constructs,Infrastructure Improvements
Force Fields,Large Scale Conflict
Self-Sustenance,Medical (COVID-19)
Anti-Gravity,Large Scale Conflict
Empathy,Drug Addiction
Power Nullifier,Miscellaneous
Radiation Control,Climate Change
Psionic Powers,Drug Addiction
Elasticity,Infrastructure Improvements
Substance Secretion,Medical (COVID-19)
Elemental Transmogrification,Miscellaneous
Technopath/Cyberpath,Infrastructure Improvements
Photographic Reflexes,Drug Addiction
Seismic Power,Climate Change
Animation,Education Improvements
Precognition,Medical (COVID-19)
Mind Control,Education Improvements
Fire Resistance,Large Scale Conflict
Power Absorption,Miscellaneous
Enhanced Hearing,Large Scale Conflict
Nova Force,Infrastructure Improvements
Insanity,Miscellaneous
Hypnokinesis,Drug Addiction
Animal Control,Miscellaneous
Natural Armor,Large Scale Conflict
Intangibility,Infrastructure Improvements
Enhanced Sight,Miscellaneous
Molecular Manipulation,Medical (COVID-19)
Heat Generation,Infrastructure Improvements
Adaptation,Large Scale Conflict
Gliding,Miscellaneous
Power Suit,Large Scale Conflict
Mind Blast,Education Improvements
Probability Manipulation,Medical (COVID-19)
Gravity Control,Large Scale Conflict
Regeneration,Medical (COVID-19)
Light Control,Drug Addiction
Echolocation,Climate Change
Levitation,Infrastructure Improvements
Toxin and Disease Control,Medical (COVID-19)
Banish,Medical (COVID-19)
Energy Manipulation,Infrastructure Improvements
Heat Resistance,Infrastructure Improvements
Natural Weapons,Large Scale Conflict
Time Travel,Medical (COVID-19)
Enhanced Smell,Miscellaneous
Illusions,Drug Addiction
Thirstokinesis,Miscellaneous
Hair Manipulation,Miscellaneous
Illumination,Miscellaneous
Omnipotent,Infrastructure Improvements
Cloaking,Large Scale Conflict
Changing Armor,Large Scale Conflict
Power Cosmic,Miscellaneous
Biokinesis,Medical (COVID-19)
Water Control,Infrastructure Improvements
Radiation Immunity,Miscellaneous
Vision - Telescopic,Large Scale Conflict
Toxin and Disease Resistance,Medical (COVID-19)
Spatial Awareness,Miscellaneous
Energy Resistance,Large Scale Conflict
Telepathy Resistance,Miscellaneous
Molecular Combustion,Infrastructure Improvements
Omnilingualism,Education Improvements
Portal Creation,Miscellaneous
Magnetism,Infrastructure Improvements
Mind Control Resistance,Miscellaneous
Plant Control,Infrastructure Improvements
Sonar,Miscellaneous
Sonic Scream,Large Scale Conflict
Time Manipulation,Medical (COVID-19)
Enhanced Touch,Medical (COVID-19)
Magic Resistance,Miscellaneous
Invisibility,Miscellaneous
Sub-Mariner,Climate Change
Radiation Absorption,Miscellaneous
Intuitive aptitude,Infrastructure Improvements
Vision - Microscopic,Medical (COVID-19)
Melting,Infrastructure Improvements
Wind Control,Infrastructure Improvements
Super Breath,Medical (COVID-19)
Wallcrawling,Infrastructure Improvements
Vision - Night,Large Scale Conflict
Vision - Infrared,Miscellaneous
Grim Reaping,Miscellaneous
Matter Absorption,Miscellaneous
The Force,Large Scale Conflict
Resurrection,Medical (COVID-19)
Terrakinesis,Climate Change
Vision - Heat,Infrastructure Improvements
Vitakinesis,Infrastructure Improvements
Radar Sense,Large Scale Conflict
Qwardian Power Ring,Large Scale Conflict
Weather Control,Infrastructure Improvements
Vision - X-Ray,Medical (COVID-19)
Vision - Thermal,Infrastructure Improvements
Web Creation,Infrastructure Improvements
Reality Warping,Education Improvements
Odin Force,Education Improvements
Symbiote Costume,Miscellaneous
Speed Force,Medical (COVID-19)
Phoenix Force,Miscellaneous
Molecular Dissipation,Miscellaneous
Vision - Cryo,Miscellaneous
Omnipresent,Miscellaneous
Omniscient,Education Improvements
