SuperHero,SuperPower,IssueResolution
3-D Man,Agility,Large Scale Conflict
3-D Man,Super Strength,Infrastructure Improvements
3-D Man,Stamina,Medical (COVID-19)
3-D Man,Super Speed,Medical (COVID-19)
A-Bomb,Accelerated Healing,Medical (COVID-19)
A-Bomb,Durability,Medical (COVID-19)
A-Bomb,Longevity,Medical (COVID-19)
A-Bomb,Super Strength,Infrastructure Improvements
A-Bomb,Stamina,Medical (COVID-19)
A-Bomb,Camouflage,Large Scale Conflict
A-Bomb,Self-Sustenance,Medical (COVID-19)
Abe Sapien,Agility,Large Scale Conflict
Abe Sapien,Accelerated Healing,Medical (COVID-19)
Abe Sapien,Cold Resistance,Miscellaneous
Abe Sapien,Durability,Medical (COVID-19)
Abe Sapien,Underwater breathing,Medical (COVID-19)
Abe Sapien,Marksmanship,Large Scale Conflict
Abe Sapien,Weapons Master,Large Scale Conflict
Abe Sapien,Longevity,Medical (COVID-19)
Abe Sapien,Intelligence,Education Improvements
Abe Sapien,Super Strength,Infrastructure Improvements
Abe Sapien,Telepathy,Education Improvements
Abe Sapien,Stamina,Medical (COVID-19)
Abe Sapien,Immortality,Medical (COVID-19)
Abe Sapien,Reflexes,Miscellaneous
Abe Sapien,Enhanced Sight,Miscellaneous
Abe Sapien,Sub-Mariner,Climate Change
Abin Sur,Lantern Power Ring,Infrastructure Improvements
Abomination,Accelerated Healing,Medical (COVID-19)
Abomination,Intelligence,Education Improvements
Abomination,Super Strength,Infrastructure Improvements
Abomination,Stamina,Medical (COVID-19)
Abomination,Super Speed,Medical (COVID-19)
Abomination,Invulnerability,Medical (COVID-19)
Abomination,Animation,Education Improvements
Abomination,Super Breath,Medical (COVID-19)
Abraxas,Dimensional Awareness,Education Improvements
Abraxas,Flight,Infrastructure Improvements
Abraxas,Intelligence,Education Improvements
Abraxas,Super Strength,Infrastructure Improvements
Abraxas,Size Changing,Infrastructure Improvements
Abraxas,Super Speed,Medical (COVID-19)
Abraxas,Teleportation,Medical (COVID-19)
Abraxas,Magic,Miscellaneous
Abraxas,Dimensional Travel,Miscellaneous
Abraxas,Immortality,Medical (COVID-19)
Abraxas,Invulnerability,Medical (COVID-19)
Abraxas,Molecular Manipulation,Medical (COVID-19)
Abraxas,Energy Manipulation,Infrastructure Improvements
Abraxas,Power Cosmic,Miscellaneous
Absorbing Man,Cold Resistance,Miscellaneous
Absorbing Man,Durability,Medical (COVID-19)
Absorbing Man,Energy Absorption,Climate Change
Absorbing Man,Super Strength,Infrastructure Improvements
Absorbing Man,Invulnerability,Medical (COVID-19)
Absorbing Man,Elemental Transmogrification,Miscellaneous
Absorbing Man,Fire Resistance,Large Scale Conflict
Absorbing Man,Natural Armor,Large Scale Conflict
Absorbing Man,Molecular Manipulation,Medical (COVID-19)
Absorbing Man,Heat Resistance,Infrastructure Improvements
Absorbing Man,Matter Absorption,Miscellaneous
Adam Monroe,Accelerated Healing,Medical (COVID-19)
Adam Monroe,Immortality,Medical (COVID-19)
Adam Monroe,Regeneration,Medical (COVID-19)
Adam Strange,Durability,Medical (COVID-19)
Adam Strange,Stealth,Miscellaneous
Adam Strange,Flight,Infrastructure Improvements
Adam Strange,Marksmanship,Large Scale Conflict
Adam Strange,Weapons Master,Large Scale Conflict
Adam Strange,Intelligence,Education Improvements
Adam Strange,Super Speed,Medical (COVID-19)
Adam Strange,Fire Resistance,Large Scale Conflict
Adam Strange,Enhanced Sight,Miscellaneous
Adam Strange,Power Suit,Large Scale Conflict
Agent Bob,Stealth,Miscellaneous
Agent Zero,Energy Absorption,Climate Change
Agent Zero,Longevity,Medical (COVID-19)
Agent Zero,Super Strength,Infrastructure Improvements
Agent Zero,Energy Blasts,Infrastructure Improvements
Agent Zero,Energy Beams,Large Scale Conflict
Agent Zero,Power Suit,Large Scale Conflict
Air-Walker,Flight,Infrastructure Improvements
Air-Walker,Super Strength,Infrastructure Improvements
Air-Walker,Super Speed,Medical (COVID-19)
Air-Walker,Self-Sustenance,Medical (COVID-19)
Air-Walker,Molecular Manipulation,Medical (COVID-19)
Air-Walker,Power Cosmic,Miscellaneous
Ajax,Agility,Large Scale Conflict
Ajax,Super Strength,Infrastructure Improvements
Ajax,Super Speed,Medical (COVID-19)
Ajax,Heat Generation,Infrastructure Improvements
Ajax,Power Suit,Large Scale Conflict
Alan Scott,Flight,Infrastructure Improvements
Alan Scott,Danger Sense,Large Scale Conflict
Alan Scott,Intelligence,Education Improvements
Alan Scott,Telepathy,Education Improvements
Alan Scott,Energy Blasts,Infrastructure Improvements
Alan Scott,Super Speed,Medical (COVID-19)
Alan Scott,Teleportation,Medical (COVID-19)
Alan Scott,Energy Beams,Large Scale Conflict
Alan Scott,Phasing,Infrastructure Improvements
Alan Scott,Force Fields,Large Scale Conflict
Alan Scott,Hypnokinesis,Drug Addiction
Alan Scott,Energy Manipulation,Infrastructure Improvements
Alan Scott,Invisibility,Miscellaneous
Alex Mercer,Agility,Large Scale Conflict
Alex Mercer,Accelerated Healing,Medical (COVID-19)
Alex Mercer,Stealth,Miscellaneous
Alex Mercer,Energy Absorption,Climate Change
Alex Mercer,Danger Sense,Large Scale Conflict
Alex Mercer,Marksmanship,Large Scale Conflict
Alex Mercer,Weapons Master,Large Scale Conflict
Alex Mercer,Longevity,Medical (COVID-19)
Alex Mercer,Super Strength,Infrastructure Improvements
Alex Mercer,Energy Blasts,Infrastructure Improvements
Alex Mercer,Stamina,Medical (COVID-19)
Alex Mercer,Super Speed,Medical (COVID-19)
Alex Mercer,Enhanced Senses,Medical (COVID-19)
Alex Mercer,Jump,Miscellaneous
Alex Mercer,Shapeshifting,Miscellaneous
Alex Mercer,Immortality,Medical (COVID-19)
Alex Mercer,Invulnerability,Medical (COVID-19)
Alex Mercer,Elasticity,Infrastructure Improvements
Alex Mercer,Substance Secretion,Medical (COVID-19)
Alex Mercer,Enhanced Hearing,Large Scale Conflict
Alex Mercer,Natural Armor,Large Scale Conflict
Alex Mercer,Adaptation,Large Scale Conflict
Alex Mercer,Gliding,Miscellaneous
Alex Mercer,Natural Weapons,Large Scale Conflict
Alex Mercer,Wallcrawling,Infrastructure Improvements
Alex Mercer,Matter Absorption,Miscellaneous
Alex Mercer,Vision - Thermal,Infrastructure Improvements
Alex Woolsly,Underwater breathing,Medical (COVID-19)
Alien,Agility,Large Scale Conflict
Alien,Cold Resistance,Miscellaneous
Alien,Durability,Medical (COVID-19)
Alien,Stealth,Miscellaneous
Alien,Super Strength,Infrastructure Improvements
Alien,Super Speed,Medical (COVID-19)
Alien,Enhanced Senses,Medical (COVID-19)
Alien,Jump,Miscellaneous
Alien,Substance Secretion,Medical (COVID-19)
Alien,Natural Armor,Large Scale Conflict
Alien,Heat Resistance,Infrastructure Improvements
Alien,Natural Weapons,Large Scale Conflict
Alien,Wallcrawling,Infrastructure Improvements
Alien,Vision - Thermal,Infrastructure Improvements
Allan Quatermain,Marksmanship,Large Scale Conflict
Amazo,Agility,Large Scale Conflict
Amazo,Lantern Power Ring,Infrastructure Improvements
Amazo,Durability,Medical (COVID-19)
Amazo,Flight,Infrastructure Improvements
Amazo,Underwater breathing,Medical (COVID-19)
Amazo,Marksmanship,Large Scale Conflict
Amazo,Power Augmentation,Medical (COVID-19)
Amazo,Longevity,Medical (COVID-19)
Amazo,Intelligence,Education Improvements
Amazo,Super Strength,Infrastructure Improvements
Amazo,Cryokinesis,Climate Change
Amazo,Telepathy,Education Improvements
Amazo,Energy Blasts,Infrastructure Improvements
Amazo,Duplication,Medical (COVID-19)
Amazo,Size Changing,Infrastructure Improvements
Amazo,Stamina,Medical (COVID-19)
Amazo,Super Speed,Medical (COVID-19)
Amazo,Weapon-based Powers,Large Scale Conflict
Amazo,Teleportation,Medical (COVID-19)
Amazo,Enhanced Senses,Medical (COVID-19)
Amazo,Jump,Miscellaneous
Amazo,Shapeshifting,Miscellaneous
Amazo,Camouflage,Large Scale Conflict
Amazo,Phasing,Infrastructure Improvements
Amazo,Fire Control,Climate Change
Amazo,Enhanced Memory,Education Improvements
Amazo,Reflexes,Miscellaneous
Amazo,Invulnerability,Medical (COVID-19)
Amazo,Energy Constructs,Infrastructure Improvements
Amazo,Force Fields,Large Scale Conflict
Amazo,Power Absorption,Miscellaneous
Amazo,Enhanced Hearing,Large Scale Conflict
Amazo,Time Travel,Medical (COVID-19)
Amazo,Enhanced Smell,Miscellaneous
Amazo,Water Control,Infrastructure Improvements
Amazo,Vision - Telescopic,Large Scale Conflict
Amazo,Magnetism,Infrastructure Improvements
Amazo,Invisibility,Miscellaneous
